id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),"备注(可空,拿不准时写?并简述)"
A088,"A substantial number of previous studies have demonstrated nonadditivity (i.e., a statistical interaction between semantic and phonological overlap) in such experiments, across various Western languages (e.g., English: Damian & Martin, 1999; Taylor & Burke, 2002; Dutch: Starreveld & La Heij, 1995; French: Bonin & Fayol, 2000), and this pattern is generally taken to support a nonserial notion.",,,
A017,"Indeed, some studies such as Huber and Kirchler (2012) and Kirchler et al. (2012) show that subjects’ understanding levels play a central role in such experiments.",,,
A325,"The fact that similar effects are observed here as in standard cue-word tasks – for example, age effects (Addis et al., 2008; Addis et al., 2010) – implies that such recombination is representative of VFT processes in general.",,,
A108,"For individuals with high need for cognition, the central route (the quality of the arguments contained in a message) has a greater effect on persuasion (Cacioppo et al., 1983).",,,
A119,"Further, in the Many Labs Replication Project’s (Klein et al., 2014) replication of Caruso et al. (2013), only one of the 36 labs observed a significant effect; the aggregate effect size across labs was in the opposite direction and not significantly different from zero.",,,
A165,"As a result of the influence of perceived inequality, people’s opinions about redistributive policies can be altered with interventions that change the salience of inequality (Card et al., 2012; Cruces et al., 2013; DeCelles & Norton, 2017; Kuziemko et al., 2015).",,,
A044,Richeson and Trawalter (2008) examined visual attention to Black faces with either happy or neutral expressions among White people varying in their level of external motivation to respond without prejudice.,,,
A331,"For instance, not only does warmth induce feelings of interpersonal closeness (IJzerman and Semin, 2010), but feelings of loneliness can make people feel colder (Zhong and Leonardelli, 2008; IJzerman et al., 2012; Szymkow et al., 2013).",,,
A244,"For instance, Alvarez and Oliva (2008) used a motion tracking task to investigate participants’ abilities to report their memory for the mean location of distractors.",,,
A214,"…is evidence that imagined contact exerts its effects through reduced anxiety (Abrams et al., 2008; Husnu & Crisp, 2010a; Turner, Crisp, et al., 2007), increased vividness of the imagined scenario (Husnu & Crisp, 2010a), and improved intergroup attitudes (Harwood et al., 2011; Husnu & Crisp, 2010a).",,,
A051,"The original researchers found that exposure to money caused people to endorse attitudes that justify inequality (Caruso et al., 2013).",,,
A255,"Increased semantic density at the word level is known to have an inhibitory effect on production and recognition due to increased competition among nearby meanings (Chen & Mirman, 2012; Mirman & Magnuson, 2008).",,,
A060,"With respect to this point, Fudenberg, Rand, and Dreber (2012) reported in their imperfect public monitoring experiment that the frequencies of cooperative strategies drop significantly as the level of noise is increased from 1/16 to 1/8.",,,
A023,"As for the cause of this effect, two mechanism has been proposed to explain how the granularity of offers influences counteroffers: (i) the “scale-granularity hypothesis” (Janiszewski and Uy, 2008), which states that the effect is mostly cognitive, with more granular offers triggering a smaller adjustment scale for the counteroffer; (ii) the “attribution of competence” hypothesis, which states more granular offers trigger the belief that the counterpart is competent, i.",,,
A209,"To promote gender equality in science, it is important that the media ’ s portrayal of women in STEM serves as a counter-stereotype to the notion that women are ill-ﬁ tted for STEM ﬁ elds (e.g., Carli et al., 2016; Leslie et al., 2015; Nosek et al., 2002).",,,
A241,"Some studies, which more directly manipulated attention, have shown that when attention is directed away, ensemble coding of low-level features can still be established [4, 12, 13].",,,
A369,"In contrast, people who are motivated to confront another want to increase their anger (Tamir & Ford, 2012a; Tamir et al., 2008).",,,
A288,"Similar effects of weight experience have been shown in judgments of spatial distances and monetary values (Witt et al., 2004; Jostmann et al., 2009).",,,
A185,"Husnu and Crisp (2010a) hypothesized that elaborated imagined contact would create a more vividly represented (and therefore available) behavioral contact script, and in turn this would enhance future contact intentions.",,,
A277,"Many early studies also observed that group identity manipulations can strengthen altruistic preference, reciprocity preference, and the desire to maximize social welfare among in-group members, even if group assignment is based on random and arbitrary criteria (Chen and Chen, 2011).",,,
A280,"…than to describe it in words or that drawing increases the vividness of the representation of an imagined interaction in the memory more effectively, all of which could contribute to different perceptions of the activities by children in the lower and upper grades (Husnu and Crisp, 2010).",,,
A112,"Being locative schema “POLITICS is THERE-place” [196 examples]: place = cardinal point [12]: southern politics (42, 51, 58); northern politics (61); country [87]: Nigerian politics (466); Lebanese politics (744); ethnic group [44]: Arab politics (175, 209); Jewish politics (175); state, district, county [31]: Louisiana politics (869); British Columbia politics (409); city [19]: Los Angeles politics (933); Rio de Janeiro politics (319); company [3]: office politics (697).",,,
A110,"…with the recent evidence showing that the role of network formation 16End-game effects are common in games of cooperation (Gächter et al., 2008; Ambrus and Greiner, 2012). is not robust to changes in the experimental environment (Rand et al., 2014) suggesting that its role is second order…",,,
A238,"Indeed, Fehr, Herz and Wilkening [22] show that individuals exhibit",,,
A307,"detailed description of the temperament dimensions and their subscales can be found in the TCI guidebook.(31) In the 46-year-olds’ survey, the Cronbach alphas of the scales were 0.",,,
A125,"These findings of robustness are important, because Rugg’s (1941) and Hyman and",,,
A336,"Well-known examples include reports that reading elderly-related words makes people walk more slowly when they leave the lab [8], reading money-related words makes people volunteer and donate less [9], seeing American flags makes US participants more favorably disposed to politically conservative points of view 8 months later [10], and plotting two points close together on a piece of graph paper makes people judge things from a greater ‘‘psychological distance’’ [11].",,,
A298,"Consequently, experts have incentives to exploit their superior knowledge trough overcharging, undertreatment or overtreatment (Dulleck and Kerschbamer 2006, 2009; Dulleck et al. 2011).",,,
A171,"In Phonological PWI, naming RTs were shortened but tone judgment RTs were unaffected (but see Roelofs, 2008 for a different pattern of results using a visual rather than an auditory Task 2).",,,
A301,"Indeed, it is a form of the notorious framing effect (Tversky & Kahneman, 1981), that pervasive and troublesome violation of invariance which here causes the selfsame policy to be rated differently, simply because the judge changes the position wherefrom judgment is rendered.",,,
A077,"We further consider the case of strong peer-to-peer punishment which has been suggested by Ambrus and Greiner (2012) to be capable of guaranteeing fairly high contribution and payoff levels in a low noise environment. Under strong peer-to-peer punishment subjects can subtract more punishment points at a lower cost from others. We too find a positive effect of strong punishment on contribution rates, our results on welfare are however strikingly different to those of Ambrus and Greiner (2012). Strong punishment leads to sizeable welfare losses as compared to standard punishment or the no punishment benchmark, with payoff levels being roughly half of those in the latter case.",,,
A257,"In addition, people have a tendency to perceive the past self-less favourably [33] (e.",,,
A146,"Subjectively shifting perceptions of time appears to be motivated by the desire to protect or enhance self-regard: People show no temporal bias when they recall the successes and failures of acquaintances (Ross & Wilson, 2002).",,,
A074,"In related examples, Fehr and Gächter (2000) and Gächter, Renner, and Sefton (2008) find that high contributors incur costs to punish free riders and thereby to promote cooperation, when the contributions of each group member is accurately shown to the others at no cost, but Grechenig, Nicklisch, and Thöni (2010) and Ambrus and Greiner (2012) find large increases in “misdirected” punishment which result in less or even negative effects of punishment opportunities on cooperation, when similar interactions occur under imperfect observability. The present paper addresses the challenge that imperfect and costly information poses for cooperative self-governance by introducing a natural extension to the experimental literature: the incorporation of a costly monitoring option. Put differently, we endogenize the imperfectness of information by letting the agents concerned improve their information’s accuracy, should they be willing to incur the requisite cost. The message of Grechenig et al. (2010) and Ambrus and Greiner (2012) might appear to be summarized by the phrase “punishment despite reasonable doubt,” which suggests that agents in their social dilemma experiments who were offered the opportunity to engage in peer punishment based on information known to be frequently inaccurate, were not especially reticent about punishing one another although they might be punishing a fellow cooperator when attempting to enforce cooperation.",,,
A197,"In employees’ careers, motivation is the incentive of their professional behaviors from beginning to end [7,8], and it is also an important factor in the development of individuals and organizations [9].",,,
A328,"In the case of Arabic numerals and number words, adoption of this strategy will not prevent semantic processing of magnitude, which occurs automatically (Dehaene and Akhavein 1995; Ganor-Stern and Tzelgov 2008).",,,
A122,"To test this, we calculated the benefit of averaging by subtracting the square error of average estimates from the square error of first estimates (similar procedures have been used before; Herzog & Hertwig, 2009; Steegen et al., 2014; Vul & Pashler, 2008).",,,
A054,"In a similar vein, Jostmann, Lakens, and Schubert (2009) linked holding heavier (as opposed to lighter weight) objects with more elaborate thinking and other indices of cognitively effortful processing.",,,
A003,"…effect has been demonstrated whereby people are given an opportunity to engage in a moral action such as stating their opposition to racist or sexist comments (Monin & Miller, 2001), writing positive self-reflective stories (Sachdeva, Iliev, & Medin, 2009), or donating (Khan & Dhar, 2006).",,,
A248,"Critically, human decision-making is not perfectly rational (Kahneman & Tversky, 1984; McNeil et al., 1982; Tversky & Kahneman, 1981).",,,
A082,We discuss 9 Experimental evidence tends to support this prediction (Goeree and Holt 2005; Chen and Chen 2011). the differences between the games below; a more formal analysis can be found in our working paper Dong et al. (2015).,,,
A372,"Relatedly, a set of dots is accurately and efficiently processed into a mean spatial location (Alvarez & Oliva, 2008), raising questions about what is gained by replacing datapoints on a graph with their mean value.",,,
A087,"…contact was found to increase the interest as well as the willingness to engage in a conversation with a Greek Cypriot for Turkish Cypriot students (Husnu & Crisp, 2010a, Experiment 1), to lead to more positive behavioural intentions towards British Muslims for non-British Muslims (Husnu & Crisp,…",,,
A181,Kill-joy thinking correlates with reductions in well-being (Schwartz et al. 2002; Larsen and McKibban 2008; Polman 2010).,,,
A124,"Researchers have found that people strategically maintain emotional states to enhance performance on subsequent emotion-congruent tasks (Tamir, Mitchell, & Gross, 2008), and that individuals diagnosed with depression are characterized by persistent negative emotional states (Gilboa & Gotlib, 1997).",,,
A019,"…licensing in which an individual who engages in initial prosocial behavior is subsequently less likely to do so; Kristofferson, White, and Peloza 2014; Monin and Miller 2001; Mullen and Monin 2016), to explain how small donor contribution format (purchase of political merchandise vs. monetary…",,,
A166,"The consequences of money priming have been linked mainly to individualism over collectivism (Broda, 2019), and support for social inequality while advocating capitalism (Caruso et al., 2013).",,,
A070,"Outside the attended region, multiple features seem to be aggregated though a process of statistical summary (Alvarez & Oliva, 2008, 2009; Chong & Treisman, 2005); however, this process produces averages of features rather than illusory conjunctions.",,,
A293,"…de Lange, & Dehaene, 2011; Verguts & Fias, 2004; Dehaene, 2001), whereby upon exposure to a multitude of continuous features (e.g., spatial-orientation, circle-diameter) observers exhibit high sensitivity to the average of the ensemble (Alvarez & Oliva, 2008; Chong & Treisman, 2003; Ariely, 2001).",,,
A123,"There is a substantial empirical literature that shows intuitive judgements are sensitive to framing effects: systematic shifts in response to normatively irrelevant per - turbations in presentation (Tversky and Kahneman 1981, 453; McDonald et al., 2021, 1–5).",,,
A069,This is supported by evidence that attentional engagement is delayed and diffused during the attentional blink (Vul et al. 2008) and that the attentional blink can be alleviated by cuing (Nieuwenstein et al. 2005).,,,
A024,"…support for the instrumental approach to emotion regulation involved cases where people showed stronger preferences for unpleasant emotions, such as worry (Tamir, 2005), fear (Tamir & Ford, 2009), or anger (Tamir et al., 2008), when preparing for goal pursuits that can benefit from such emotions.",,,
A012,"The auditory system is hypothesized to play a central role in the brain's change detection network by serving as an ‘earlywarning’ device, continuallymonitoring the acoustic background for potentially relevant events (Demany et al., 2008; Murphy et al., 2013).",,,
A311,"Research on desirable difficulty has consistently shown that certain effort-induc - ing learning manipulations, when appropriately calibrated, promote long-term retention and deeper processing (Alter & Oppenheimer, 2008; Alter et al., 2007 ; Lehmann et al., 2016; Weissgerber & Reinhard, 2017).",,,
A212,"Note that some manipulations can induce abstraction indirectly through variables that affect abstraction (e.g., processing fluency and psychological distance; Alter & Oppenheimer, 2008; Trope & Liberman, 2003, 2010; respectively).",,,
A063,"People exposed to money are more likely to believe social advantaged groups should dominate disadvantaged groups and that victims deserve their fates (Caruso et al., 2013).",,,
A265,"The results from Alvarez and Oliva (2008) showed identical performances for target and distractor centroids when target selection was difficult (the targets and distractors were all black) in Experiment 1, although they showed better performance for the target than the distractor centroid when…",,,
A039,"As Kuziemko et al. (2014) explains, last-place aversion should be motivation for near-worst units to improve.",,,
A148,"Oppenheimer and Monin (2009) report that when participants were asked to estimate the number of coin flips before the occurrence of a pattern of length 5, they believed that a sequence of coin flips was nearly twice as long before a streak (mean estimate = 16.2) than when there was no streak (mean…",,,
A139,"In our experiment, we adapt Ericson and Fuster’s (2011) design to instead test the comparison effect.",,,
A035,Related research studies the effects on coordination of communication through different kinds of institutions (Kogan et al. 2011; Shurchkov 2016).,,,
A316,"These results are consistent with a functionalist account of emotions, which posits that the pursuit of emotion-specific goals can be modified as a function of the current environment (Keltner et al., 2006; Tamir et al., 2008; Tooby & Cosmides, 1990).",,,
A067,Alvarez and Oliva (2008) used a variant of the concurrent tracking task to also show that people extract summary statistics when attentional load is increased.,,,
A081,"In fact, previous research has found that up to a third of participants often provide estimates in the outer direction, despite researchers’ assumptions that the vast majority of participants provide estimates in the inner direction (Grau & Bohner, 2014; Jacowitz & Kahneman, 1995).",,,
A338,"To cater to different tastes, we included three different real-object prizes: a University of Sydney hoodie, a Logitech Boombox and a voucher for two cinema tickets.(16) As people who are not interested in buying a particular good would simply bid $0, and therefore be insensitive to the number of people in the auction, we included three different real-object prizes with the (14)Unless he submits a bid equal to zero.",,,
A361,"The utility of the leisure or work domain is improved when individuals possess a higher preference for that domain (Ifcher & Zarghamee, 2011).",,,
A250,"In addition, several studies (Zuckerman and Cloninger, 1996; De Fruyt and Van De Wiele, 2000) have reported significant relationships between Cloninger's temperamental traits and extraversion; i.e., HA is negatively correlated with extraversion, and NS is positively associated with extraversion.",,,
A274,"To obtain the data which would allow us to infer the discount rates, the respondents played games and answered questions informed by Voors et al. (2012), Ifcher and Zarghamee (2011) and Tanaka et al. (2010).",,,
A004,Long-silence was chosen as a reference because previous studies have shown that a silence between two auditory sequences does not reduce change detection (Demany et al. 2008; Pavani and Turatto 2008).,,,
A219,"…of a range of outgroups, including Mexicans’ attitudes towards Mestizos in Mexico (Stathi & Crisp, 2008), non-Muslims attitudes towards Muslims (Husnu & Crisp, 2010a, Experiment 2; Turner & Crisp, 2010b, Experiment 1; Turner & West, in press, Experiment 2), illegal immigrants (Harwood,…",,,
A109,The results suggest a methodology for measuring uncertainty to facilitate multi-method research and to assess data in a pragmatic setting.,,,
A261,"PMQ (Cacioppo et al., 1983) was assessed using a five-item, 7-point Likert scale created by Smith, Kopfman, MassiLindsey, Yoo, and Morrison (2004).",,,
A052,"A framing effect in a decision task is said to occur when equivalent descriptions lead to different decisions—an apparently clear violation of the basic normative principle of invariance between equivalent choices (Kahneman and Tversky 1979;  Tversky and Kahneman 1981, 1986;  for a review see Levin et al. 1998).",,,
A107,"As shown by Caruso et al. (2013), merely activating a money concept in people’s minds can make them more favorable toward existing social structures and more likely to see social inequality as acceptable.",,,
A160,"However, the authors find evidence of a discouragement effect, whereby the responder shies 37See also Ericson and Fuster (2011), Fehr and Goette (2007) and Song (2016). away from working when the leader’s effort provision is high, but works hard when it is low.",,,
A145,"Based on this and related evidence reviewed in Roelofs (2008), the computational implementation of the theory proposed in LRM, WEAVER++, models lexical access as a cascaded process (see also Roelofs, 2014; Roelofs & Ferreira, 2019).",,,
A330,"Thus facing a 50-50 mixture between the two strategies, Grim-I earns 26/64, while ALLD gets 17/64. b/c=4.7 Consistent with this observation, the experiments reported in Fudenberg et al. (2012) found substantially more cooperation at b/c=4 than when b/c=1.5.",,,
A292,"Nosek et al. (2002) showed that when math and language IAT tasks were conducted, males demonstrated a more positive attitude toward math than females, implying that males tended to have a more negative implicit preference for English than females.",,,
A180,"…representations” do, indeed, demonstrate that we are reasonably good at judging the summary statistics of stimuli (Albrecht & Scholl, 2010; Alvarez, 2011; Alvarez & Oliva, 2008; Ariely, 2001; Chong & Treisman, 2003, 2005; Dakin & Watt, 1997; Parkes, Lund, Angelucci, Solomon, & Morgan, 2001).",,,
A028,"They found moral licensing effects for each the one and two experimenter conditions, but no difference between the one and two experimenter conditions, which suggests that establishing a cooperative reputation to others may not be important for the moral licensing effect (Monin & Miller, 2001).",,,
A289,"In the latter case of intermediate truth values, previous work has shown that mouse movements will veer between answers ( McKinstry, Dale & Spivey, 2008 ), and our pilot work replicated these findings with eye movements.",,,
A287,Tversky & Kahneman (1981) have shown that individuals can reverse their decision choices when a problem is framed in different ways.,,,
A335,"…of abstract concepts, such as time, is not available to awareness, this implicit process of cognitive unconsciousness is associated with spatial representations (Kranjec & Mcdonough, 2011, p. 747), thanks to the shared conceptual structure of the domains of space and time (Boroditsky, 2000, p. 1).",,,
A101,"A major theoretical problem with iterated games is that the set of equilibria of these is extremely large: essentially, the entire range of “safe” (in the maxmin sense) to Pareto efficient strategic outcomes can be supported in equilibrium (Fudenberg and Tirole 1991).",,,
A196,"Consistent with the original report, healthy younger adults provide more internal details and fewer external details than older adults when recalling past personal experiences (Addis et al., 2008; Addis et al., 2010; De Brigard et al., 2016; De Brigard et al., 2017; Ford et al., 2014; Gaesser et al., 2011; Madore et al., 2014; Peters et al., 2019; Robin & Moscovitch, 2017; Spreng et al., 2018; St Jacques & Levine, 2007; Vandermorris et al., 2013; Zavagnin et al., 2016).",,,
A115,Restricting the effort choices of the agent rules out a scale effect and the resulting complementarity between full discretion and pay as observed in the experiment by Bartling et al. (2012) since agents cannot respond to a gift by providing more effort.,,,
A034,", 2007), and evidence from sport and gaming contexts (Tamir et al., 2008; Lane et al., 2011) show that individuals are generally motivated to feel positive rather than negative emotions.",,,
A057,"Hedonistic consumption occurred when people purchased to satisfy their needs of pleasure (Tamir et al., 2008).",,,
A068,"…social dominance orientation, the justification of free market systems, and the conviction that only personal effort and achievement should be rewarded, are susceptible to subtle cues of money (Boucher & Kofos, 2012; Caruso et al., 2013; Vohs, 2015; Vohs et al., 2006, 2008; Zedelius et al., 2013).",,,
A089,"…1998; Tremblay & Jones, 1999) and occurs independently of the mere presence of phonology within the task-irrelevant sound or phonological overlap between sequences of to-be-remembered and task-irrelevant items (Jones & Macken, 1995; Marsh, Vachon, et al., 2008; but see Eagan & Chein, 2012).",,,
A149,"Additionally, in a lexical decision study, Mirman and Magnuson (2008) reported slowed processing of words with near neighbours and speeded processing to words with distant semantic neighbours.",,,
A029,Kahneman and Tversky [1984] state that cognitive information is processed in our brain by system 1 or system 2.,,,
A130,The Limits of Verifiability and a Potential Explanation for Its Failure Experimental data in Dulleck et al. (2011) indicate that – contrary to theoretical prediction – verifiability fails to promote efficiency on credence goods markets.,,,
A239,"Past research suggests that people can improve their quantitative judgments by making two judgments and then taking the average, an effect called the wisdom of the inner crowd (Ariely et al. 2000; Vul and Pashler 2008; Herzog and Hertwig 2009, 2014a b).",,,
A245,"Toepoel et al. (2006) and Winter (2002a; 2002b) find response category effects in web surveys, while Krosnick and Alwin (1987), Rockwood et al. (1997), Schwarz et al. (1985), Schwarz and Hippler (1987), and Strack and Martin (1987) find effects in other modes of administration.",,,
A228,"Therefore, town meetings may provide the citizens with procedural utility (for the role of procedural utility in decision making, see Frey and Stutzer, 2004 and Fehr et al., 2013).",,,
A131,"NFC affects how users interact with information, to which extent this behavior is affected by cognitive biases, how they process explanations, and how they react to nudging and boosting approaches [3, 16, 24].",,,
A217,"…(2008) establish that a personal relationship between principal and agent is a major condition for a substantial crowding-out effect to emerge, and Bartling et al. (2011) show that offering discretion to an anonymous agent is not profitable on its own but that the combined strategy of offering…",,,
A157,"Compared to interview or narrative-based measures such as the Child Autobiographical Interview (CAI), the quantity of memory details reported in the AMT may be relatively low (Addis et al., 2008; Salmon et al., 2021; Willoughby et al., 2012).",,,
A221,"The independence of erroneous and veridical recall (Beaman, 2004; Marsh et al., 2008; Marsh, Hughes et al., 2015) further undermines the idea that blocking (Rundus, 1973) 2012).",,,
A348,"Based on the availability heuristic (Tversky & Kahneman, 1973), the heuristic processing model posits that people use information that is easily accessible in memory to judge the frequency of events.",,,
A242,(Linde and Sonnemans 2012; Kuziemko et al. 2014; Chao et al. 2017; Hillebrandt and Steinorth 2020).,,,
A007,"A recent body of experimental (Abeler et al., 2011; Ericson and Fuster, 2010; Sprenger, 2010) and empirical (Pope and Schweitzer, 2011; Card and Dahl, 2011) studies find support for rational expectations as endogenous reference points.",,,
A025,"As claimed by Lakoff and Johnson (1980), Clark (1973) and Boroditsky (2000), one of the most widely studied metaphorical systems in this context is the contrast between ego-moving and time-moving metaphors, where either the speaker is construed as moving toward future events (e.g., “We’re…",,,
A247,"Recent experimental evidence has observed that, for the case of symmetric games, an ‘enhanced’minimal group paradigm enables coordination among multiple Pareto ranked equilibria (Chen and Chen, 2011).",,,
A129,"This research includes the work of Landau, Meier and Keefer (2010), Williams and Bargh (2008) and Jostmann, Lakens and Schubert (2009), each of whom found that the metaphors we use to conceptualize our environment and our experiences are distinctly manifest in subsequent thoughts and actions.",,,
A118,Lei et al. [2001] achieve a similar purpose by preventing subjects from reselling their assets.,,,
A016,Richeson and Trawalter (2008) also examined the effects of EM on visual attention in response to Black targets and observed a pattern of biased attention among high-EM participants similar to that observed in socially anxious individuals.,,,
A058,"Furthermore, related research on anchoring (Janiszewski and Uy 2008; also see Mussweiler and Strack 2000) suggests that the amount of adjustment from the anchor will depend on the perceived magnitude of the asking price: if a buyer perceives the asking price to be low, then she is more likely to…",,,
A324,"For instance, there is more uncertainty about the underlying behaviors that lead to specific outcomes (Ockenfels and Resnick 2012), which tend to make traders more forgiving and less punishing (see also Ambrus and Greiner 2012 for effects of uncertainty on punishment).",,,
A211,There is evidence that answers to this question strongly depend on question format (Schwarz et al. 1985).,,,
A099,…from an experimenter-controlled concept would seem to be highly desirable and would allow a more naturalistic test of cascaded activation from picture distractors while controlling for the potential attentional effects on picture distractors in picture–picture tasks suggested by Roelofs (2008).,,,
A251,"For example, the unobservable theoretical construct of NFC has been translated into an empirically measurable construct through the development of the NFC questionnaire (Cacioppo et al., 1983).",,,
A347,"When defined as a tendency to engage in intellectual effort, thorough processing and analysing of information, the need for cognition (cacioppo & petty, 1982; cacioppo et al., 1983) is linked to elaboration, which, in turn, is a component of creative thinking.",,,
A351,"Especially if the past is negative—and people generally perceive their past as more negative than their future (e.g., Busseri et al., 2009, 2012), people feel subjectively distant to this self (Ross & Wilson, 2002).",,,
A329,Employers choose an advertisement b̃ that offers workers a share of the surplus p(s)−d(s) (the first expression in equation (17)) unless the minimum that workers need to be offered for them to incur the search costs is larger (the second expression).,,,
A177,"Fehr, Herz, and Wilkening (2013) studied the motivational consequences of authority and concluded that the lack of authority of subordinates dis-courages them and may lead to an effort under-provision.",,,
A114,"An alternative way to capture future thinking is to use performance-based assessments that capture the quality of each individual future thought imagined, as often done within cognitive psychology (e.g., Addis et al., 2008; Levine et al., 2002).",,,
A154,"Consonant with the predictions of Experiment 1, on the interference-by-process account (Marsh et al., 2008, 2009), meaningful, but not meaningless, speech should impair semantic fluency.",,,
A120,"In the context of laboratory experiments, Knetsch and Wong (2009) and Marzilli Ericson and Fuster (2011) find supporting evidence from exchange experiments, Abeler et al. (2011) and Gill and Prowse (2012) from effort provision experiments, Banerji and Gupta (2014) from an auction experiment, and…",,,
A370,"In theoretical terms, it captures better the relational qualities of subjective social status that are central to some of its political effects, such as the tendency of low subjective status to inspire last place aversion (Kuziemko et al., 2014), and, in methodological terms, it offers a single indicator that can be incorporated into surveys more readily than a battery of questions on social integration.",,,
A097,Chen and Chen (2011) show that a salient group identity increases coordination on Pareto superior outcomes in the minimum effort coordination game (Huyck et al. 1990).,,,
A092,"For example, Richeson and Trawalter (2008) demonstrated that Whites who scored high on a measure assessing external motivations to control prejudice (for example, concerns about one’s own social appearance; Devine 1989) were more likely to unconsciously divert their attention away from neutral…",,,
A314,"Similar to what is observed in memory, older age is associated with reductions in episodic simulations while simulations more semantic in nature seem to remain intact (Addis et al., 2008, 2010, 2011).",,,
A027,"Last-place aversion (LPA) has its origins in game theory: using experimental and survey evidence, it was demonstrated that people with low-income do not support equal or larger redistribution policies (Kuziemko et al. 2014).",,,
A178,"La TAT sugiere que las personas tienden a reaccionar a sus sí-mismos pasados y sus resultados de forma que los haga sentir bien en el presente (Ross & Wilson, 2002).",,,
A204,"Former research (Caruso et al., 2013) indicated that beliefs (e.g., social dominance orientation) associated with the economic dimension of political orientation (Jost, Federico, & Napier, 2009) were influenced by money priming.",,,
A168,"2006), and the motivational e ect of authority in delegation games (e.g., Falk and Kosfeld 2006; Fehr et al. 2013).",,,
A210,"In fact, Demany et al. (2008, 2010) have gone so far to posit that reports of change deafness are due entirely to a failure in short-term verbal memory and have little to do with any limitations in sensory processing or sensory memory for sound objects.",,,
A134,"On the other hand, people may exhibit licensing, where those who engage in an initial moral act are less likely to engage in subsequent moral behaviors due to an increase in positive self-concept and satisfaction of impression management motives (Garvey and Bolton 2017; Khan and Dhar 2006; Kristofferson, White, and Peloza 2014).",,,
A207,The availability bias (Tversky and Kahneman 1973) suggests that more salient information in memory is more likely to be considered in a decision.,,,
A100,"A related study by Kuziemko et al. (2014) provides evidence from laboratory experiments and surveys in the United States that “last place aversion” can exist whereby people near the very bottom of the distribution are the least supportive of redistribution, particularly in the form of increases in the minimum wage.",,,
A208,"…attention to the negative elements of otherwise positive situations or focusing on what could be even better – is another strategy that has been found to negatively correlate with happiness, optimism, self-esteem, and life satisfaction (Larsen & McKibban, 2008; Polman, 2010; Schwartz et al., 2002).",,,
A106,It has been argued that these reductions in brain glucose metabolism underlie functional defi cits following sleep deprivation because of resource depletion [ 58 – 60 ].,,,
A048,"Additionally, the study considers the potential effectiveness of green policy instruments such as taxes, regulations, and nudges in promoting remanufacturing.",,,
A018,"In the previous section, we discussed how we set up the experiment resembling the design by Kirchler et al. (2012).",,,
A299,"Moreover, imagined contact enhances contact self-efficacy (Stathi, Crisp, & Hogg, 2011), increases intentions for future out-group contact (Husnu & Crisp, 2010a, 2010b, 2011), and even leads to positive approachrelated behavior toward the out-group (Turner & West, 2012).",,,
A198,"We suspect that in such discussions, when people are forced to make some decision at the end of the day, decision makers rely on other strategies to avoid the appearance of bias, such as deferring to members of minority groups (Crosby et al., 2008).",,,
A175,"It is worth noting that in every treatment of Fudenberg et al. (2012), while strategy choices were quite heterogeneous, a substantial fraction of subjects used the AD strategy, and cooperative types found it difficult to learn optimal responses.",,,
A234,"In western societies, money cues become rather abundant and could thus – as a repetitive prime – potentially provoke lasting changes in people’s political orientation and ultimately voting behavior (cf. Carter et al., 2011).",,,
A133,"Important, here is that  Inzlicht and Gutsell (2007)  see conflict monitoring as representing a nonconscious means of alerting the conscious process to a discrepancy between one’s goals and one’s actual progress.",,,
A256,"Relatedly, a set of dots is accurately and efficiently processed into a mean spatial location (Alvarez & Oliva, 2008), raising questions about what is gained by replacing datapoints on a graph with their mean value.",,,
A273,"Dulleck et al. (2011) have investigated the role of institutions and market conditions on experts’ behavior and have shown that liability is important for efficiency on credence goods markets, while ex-post verifiability of the expert’s actions is not.",,,
A061,"A shared group identity also improves coordination in the battle of sexes game (Charness et al. 2007), and the minimum-effort game (Chen and Chen 2011), suggesting that a salient common identity leads to the selection of a more efficient equilibrium.",,,
A173,"Since women aren’t supposed to be good at math (Boaler, 2002; Nosek et al., 2002), the white women bonded around their reinforcement of algebra being hard and how they were struggling, even when in Kady’s case, she wasn’t.",,,
A009,"The cost of registering for donation was e 0.6, which corresponds to the mean cost of Kessler and Roth (2012) where half of the subjects bore costs of $0.40 ($0.80).",,,
A321,"…later loss of self-control, as evidenced by inappropriate aggressive responding (DeWall, Baumeister, Stillman, & Gailliot, 2007), over-eating (Vohs & Heatherton, 2000), overreliance on heuristics to make decisions (Masicampo & Baumeister, 2008), and unfocused attention (Inzlicht & Gutsell, 2007).",,,
A359,"For example, Mirman and Magnuson (2009) reported that refixation likelihood was increased among presentations of words defined as near semantic neighbours compared to words that are distant semantic neighbours (semantic neighbourhood density calculated over counts of semantic feature ratings of words). Additionally, in a lexical decision study, Mirman and Magnuson (2008) reported slowed processing of words with near neighbours and speeded processing to words with distant semantic neighbours.",,,
A360,"Finally, in the one nonexperimental original study (De Fruyt et al., 2000), the original study used previously validated self-report scales to assess the association between conscientiousness and persistence.",,,
A002,"…do not advocate a dual Indian–Pakistani national anthem, Ghouri et al. stress the potential of imaginary emancipatory ethics, echoing research validating the role of imagining cross-group friendship as a way to foster greater cross-group understanding (Crisp and Turner 2009; Husnu and Crisp 2010).",,,
