id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),备注
C0220,"Emotion dampening strategy has been found to be negatively associated with happiness, self-esteem, and life satisfaction [4] [5], and positively correlate with depression",,,
C0221,"For example, anger connotes dominance, men (vs. women) are stereotyped as dominant, and judgments of leadership potential are related to dominance (e.g., Rule & Ambady, 2008b, 2009; Todorov, Mandisodza, Goren, & Hall, 2005).",,,
C0222,"Conversely, intrinsic motivation sustains support for the subsequent campaign despite neutralization (Ingram and Hinduja 2008; Monin and Miller 2001).",,,
C0223,"Of note, in Ambrus and Greiner (2012) the two-trials rule fails because of the dichotomization at 𝛼 = .",,,
C0224,"…more information and are able to recall brand 4 messages at a higher level than individuals who rate lower in need for cognition (Burnkrant and Sawyer, 1983; Cacioppo et al., 1983; Cacioppo et al., 1986; Celsi and Olson, 1988; Greenwald and Leavitt, 1984; Kassin et al., 1990; Petty et al., 1983).",,,
C0225,"For example, more people report low frequencies of television watching when the scale ranges from ``up to 12 hour’ ’ to ``more than 212 hours’ ’ than when it ranges from ``up to 2 1 2 hours’ ’ to ``more than 412 hours’ ’ (Schwarz & Hippler, 1987; Schwarz et al., 1985).",,,
C0226,Aguerre et al (2012) suggested that exchange rate volatility and monetary policy play a crucial role in exchange rate pass-through.,,,
C0227,"Ifcher and Zarghamee (2011) find that a mild positive affect significantly decreases discount rates,",,,
C0228,"Finally, we discuss how superiority-seeking rationalizes seemingly anomalous attitudes towards redistributive policies, such as the observation that the strongest opposition to increases in the minimum wage is concentrated amongst those making the secondto-lowest amount (Kuziemko et al., 2014), and provides a psychological basis for the maintenance of social stratification (Darity Jr et al.",,,
C0229,"…effect (e.g., Nieuwenhuis et al., 2006; Mayr, Awh & Laurey, 2003) and the proportion congruency effect (Blais & Bunge, 2010; Bugg et al., 2008; Jacoby et al., 2003; Notebaert & Verguts, 2007; Schmidt & Besner, 2008) can be explained, at least in part, as a result of simple associative learning.",,,
C0230,"…on the new term obtained from auditory (spoken), visual (orthographical) and semantic (contextual) sources are cognitively combined, acting to increase the levels of familiarity until a threshold of word recognition occurs (Morton, 1969; Balota et al., 2004; Yap et al., 2008; Santos et al., 2011).",,,
C0231,"…account of the B-SSSE, the involuntary semantic processing of irrelevant material while attention remains focused on a task dominated by semantic-based processes results in a conflict of two concurrent semantic processes, thereby impairing free recall (Jones et al., 2012; Marsh et al., 2008).",,,
C0232,"For example, the abstract concept of time is understood by redeploying the more concrete domain of space, such that forward movement in space leads to a change in the representation of the abstract concept time, toward the future (Boroditsky, 2000; Loeffler et al., 2017).",,,
C0233,"Positive emotions increase patience, reducing time discounting and favoring long-term options, while negative emotions weaken patience, resulting in higher discounting rates and a preference for short-term options (Gray, 2004; Ifcher and Zarghamee, 2011; Molouki et al., 2019; Dorison et al., 2022).",,,
C0234,"Perceptual fluency, the ease with which people think about events, may influence perceived psychological distance because people perceive close, familiar events more fluently than they perceive distant, unfamiliar events (Alter & Oppenheimer, 2008; Unkelbach, 2006).",,,
C0235,"Cross-national comparisons of self-reported conscientiousness correlates negatively with latitude, though, as reviewed, this data is open to several explanations, ranging from negation (Heine et al. 2008; van de Vijver and Leung 2001; Cohen 2007) to inverse interpretation (Hertler 2015c).",,,
C0236,"These changes in actors’ responsiveness lead them to perceive their partners as more responsive, both because they project their own responsiveness onto partners ( Lemay and Clark 2008; Lemay et al. 2007), and because partners tend to reciprocate responsiveness (Reis et al. 1988).",,,
C0237,"Recalling personal offenses may facilitate empathy, but only if people can recall offenses that are truly similar in severity and type (Exline et al., 2008).",,,
C0238,"Other experimentalists have also found no eﬀect of minimal group manipulations, although stronger group manipulations have sometimes been eﬀective (Chen & Chen, 2011; Eckel & Grossman, 2005; Guala et al., 2013).",,,
C0239,"Decision-making research has demonstrated that a decision maker's utility is highly subjective and may include variables, such as personal gain, risk tolerance, relevance to related events, and value of a decision to the organization [22,28,44,46,47,54].",,,
C0240,"It is known that expressing anger can elicit concessions from others (van Kleef et al., 2004; Sinaceur and Tiedens, 2006; van Kleef and Côté, 2007; van Dijk et al., 2008; van Kleef et al., 2008; Sell et al., 2009; Fabiansson and Denson, 2012; Reed et al., 2014), while happiness can elicit altruism…",,,
C0241,"The only data point deviating from this overall pattern is the result from the English experiment reported by Janssen et al. (2008), in which a congruency effect was observed in object naming but not in colour naming.",,,
C0242,"This procedure was consistent with previous studies on imagined intergroup contact which have shown that by simply imagining a particular social context, individuals experience cognitive and behavioral outcomes similar to those they would have felt in the context itself (see Husnu & Crisp, 2010).",,,
C0243,"Additionally, an underdelegation of decision rights was observed compared to the equilibrium that would have made both parties better off (Fehr et al. 2013).",,,
C0244,"Contrarily, when one feels insecure, one will behave in ways that impede relationship development, which reinforces the sense of insecurity in relationships (e.g. Downey et al., 1998; Lemay & Clark, 2008; Muray et al., 2002).",,,
C0245,"…one hand, the price dynamics commonly observed in these experimental asset markets are considered to be the result of confusion (Huber and Kirchler, 2012; Kirchler et al., 2012), non-profit-related motives (Lei et al., 2001), and the low cognitive ability (Bosch-Rosa et al., 2017) of participants.",,,
C0246,"When a person guesses the answer to an (estimation) question twice, the average of both guesses is often more accurate than each guess on its own—a phenomenon known as “the wisdom of the inner crowd” (Herzog & Hertwig, 2014; van Dolder & van den Assem, 2018; Vul & Pashler, 2008).",,,
C0247,"…goals for action and inaction can guide subsequent behaviours, such that individuals prefer to be active when goals for action have been activated and to be inactive when goals for inaction have been activated (Albarracín et al., 2008; Albarracín, Wang, & Leeper, 2009; Hepler & Albarracín, 2014).",,,
C0248,"Additionally, interventions that restore depleted resources also improve System 2 processing (Masicampo & Baumeister, 2008), which suggests that caffeine may bolster executive control via increased System 2 processing.",,,
C0249,Column 3 implies that one rain-free Fourth of July makes it 1.78 percentage points more likely that an adult identiﬁes with the Republicans.,,,
C0250,"Recently, a number of studies have shown that attentional selection of items in VWM is possible using location cues [14], [15] and feature cues [16].",,,
C0251,"This theory suggests that in order to act dishonestly one has to overcome a truth bias, which results in additional time and effort (Duran, Dale, & McNamara, 2010; Duran & Dale, 2012; McKinstry, Dale, & Spivey, 2008; Spence, Farrow, Herford, Wilkinson, Zheng, & Woodruff, 2001).",,,
C0252,"Finally, numeric group representation directly affects collective and intergroup outcomes, such as trust [14] and intergroup integration preferences [38].",,,
C0253,"…the field lacks a general framework for identifying the resource and understanding why a range of seemingly unrelated acts draw from this common resource [i.e., why one act of volition depletes volitional power for a second unrelated act (Inzlicht & Gutsell, 2007; Kaplan & Berman, 2010)].",,,
C0254,"Response alternatives serve an informative function as respondents infer that the midrange of the alternatives communicate information about the “average frequency” of a behavior in the population (Schwarz et al. 1985; Menon et al. 1995, 1997).",,,
C0255,"Consistent with this idea, motivation group differences in the ERN in Amodio et al. (2008) were observed only for high-conflict trials involving Black primes (Black–tool trials) and not trials involving White primes.",,,
C0256,"Previous studies of VSL have established that statistical learning can operate on various visual features, including letters, shapes, and colors ( Bertels et al., 2015a, 2015b; Fiser & Aslin, 2002; Jeste et al., 2014; Turk-Browne & Scholl, 2009; Turk-Browne et al., 2005, 2008, 2009).",,,
C0257,"They still observe bubbles, reinforcing the confusion hypothesis (see also Kirchler et al., 2012 ).",,,
C0258,"Specifically, action primes have been shown to promote faster behavioral responses, greater consumption of food, more idea generation, and more persistence on challenging tasks (Albarracín et al., 2008; Weingarten et al., 2016).",,,
C0259,"The prototypical pride display involves postural expansion and a backwards head tilt (Tracy & Robins, 2007), similar to mammalian displays of dominance.",,,
C0260,"…the opposite of what previous research observed using this same manipulation in the context of a romantic relationship, whereby threat caused HSEs to express greater interest in pursuing risky avenues for increasing interdependence with their current romantic partner (Study 2, Murray et al., 2008).",,,
C0261,"Furthermore, McCrea (2008) argues that we receive an esteem boost when generating excuses for our failures, so long as those excuses do not implicate a valued feature of our identity.",,,
C0262,"Imagined future autobiographical events are less specific than past autobiographical memories and decrease in specificity at a greater rate as time into the future and past increases (Addis et al., 2008; Berntsen & Jacobsen, 2008; Rasmussen, & Berntsen, 2014a).",,,
C0263,"…previous studies reliably showed that the experience of physical heaviness increases perceived importance of fair decision-making procedures (Jostmann et al., 2009) as well as the importance of a book’s content (Chandler et al., 2012), I found no impact of weight on the reported importance…",,,
C0264,"When partners behave in a responsive way under high levels of stress, their behaviors may be perceived as in-authentic or compelled (Lemay & Clark, 2008), and thus responsiveness may not be properly evaluated, especially from highly insecurely attached individuals.",,,
C0265,"Importantly, the assumption that contingency learning is the only source of PC effects (Schmidt & Besner, 2008) implies that no PC effects should be observed in PC manipulations that control for contingency learning operations.",,,
C0266,"Prior research has shown that a stationary fundamental value process is conducive to greater participant understanding (Kirchler et al., 2012) and we believe that the first two periods are helpful in promoting subject understanding.",,,
C0267,"Cacioppo, Petty, and Morris (1983), hereafter called “CPM,” first demonstrated that AQ (strong vs. weak) produced a larger impact on ratings of message persuasiveness for people high versus low in NFC.",,,
C0268,"Comparing our results to related studies of experience/credence goods, the combination of competition and reputation concerns also leads to the lowest rate of opportunistic behavior in Huck et al. (2012), while it has no effect in Dulleck et al. (2011).",,,
C0269,"…there is a significant body of knowledge that has suggested superior bilingual performance on inhibitory control tasks (Bialystok et al., 2004; Colzato et al., 2008; Costa et al., 2008; Martin-Rhee and Bialystok, 2008), evidence also exists indicating null effects of bilingualism on nonverbal…",,,
C0270,"In fact, Demany et al. (2008, 2010) have gone so far to posit that reports of change deafness are due entirely to a failure in short-term verbal memory and have little to do with any limitations in sensory processing or sensory memory for sound objects.",,,
C0271,"Similarly, although previous studies reliably showed that the experience of physical heaviness increases perceived importance of fair decision-making procedures (Jostmann et al., 2009) as well as the importance of a book’s content (Chandler et al.",,,
C0272,"Together, these results clearly demonstrate that it is not the case that PC effects are unobservable when those factors are controlled for (Schmidt, 2013b; Schmidt & Besner, 2008).",,,
C0273,"The trait harm avoidance, which is strongly related to neuroticism (de Fruyt et al., 2000), has been shown to be negatively related to striatal D2R availability (Kim et al., 2011).",,,
C0274,"In contrast to our findings, her study suggests that information about product characteristics can increase market prices, so that the presence of informed buyers generates negative externalities for 7 For example, the negative effect of disclosure on output-related quality indicators reported by Filistrucchi and Ozbugday (2012) might be due to patients with more severe illnesses switching to higherquality hospitals.",,,
C0275,"However, surveys would have some limitations on measuring people’s attitudes due to self-presentation bias (e.g., middlemost responses) in the third and fourth case (Friese et al., 2006; Payne et al. 2008).",,,
C0276,"Fudenberg et al. (2012) have found that in games with imperfect monitoring “forgiving” strategies, such as Nash Reversion or Forgiving Grim Trigger, are used more often.",,,
C0277,"The REH also predicts the observed semantic interference even in a delayed naming task (Janssen et al., 2008), which was problematic",,,
C0278,"…experiments, participants primed with action goals recalled more information from a previously read text (Albarracín et al., 2008, Experiment 4) and solved more SAT-type problems (Albarracín et al., 2008, Experiment 5) compared to participants who had been previously primed with inaction goals.",,,
C0279,"The cue has been suggested to enhance performance by protecting the cued items from degradation, distraction, and from being overwritten by the probe display ( Makovski et al., 2008; Matsukura et al., 2007).",,,
C0280,"Indeed, empirical evidence suggests that mixed emotions are often elicited by complex events that entail both losses and gains; for example, moving out from one’s dormitory, graduation ceremonies, and other meaningful endings tend to activate opposing emotions (Ersner-Hershfield et al., 2008; Larsen et al., 2001).",,,
C0281,"Recent studies have argued that inhibitory control perspectives alone do not fully explain how bilinguals manage their two languages and that monitoring and goal maintenance may better account for their more efficient performance in attentional tasks (Colzato et al., 2008; Costa et al., 2009).",,,
C0282,"This perception of precarious positionality within and between groups may activate fears of being in last place (i.e., last place aversion 19 ) and may stoke a general sense of victimization that others have argued can lead to hierarchy-enhancing efforts 20,21 .",,,
C0283,"Additionally, the results were specific to weight judgments; the metaphor inductions did not influence other conceptually-related judgments (i.e., popularity of the book, a proxy for importance; see Jostmann et al., 2009).",,,
C0284,"In conclusion, our results suggest that motor decisions encompass a competition in motor areas, tuned by contextual cues in the setting of an integrative parallel process (Cisek, 2007; McKinstry et al., 2008; Tosoni et al., 2008).",,,
C0285,One explanation is that ‘dual learning’ of both the correct responses and errors may occur in Hebb repetition tasks (Couture et al. (2008).,,,
C0286,"Further, psychophysical studies have reported a correspondence between real and implied motion in motion aftereffects (Pavan et al., 2011; Winawer et al., 2008) and depth perception (Holmin et al., 2016).",,,
C0287,"Another strategy involves the availability heuristic, which posits that presenting recent, concrete examples of privacy violations can make abstract risks feel more real and immediate [139].",,,
C0288,"For example, Monin and Miller (2001) found that moral actions lead to biasedness in the selection of candidates via job interviews.",,,
C0289,Experiment 4 of Albarracín et al. (2008) demonstrates that action (vs. inaction) goals increased cognitive activity via the processing of an evolutionary psychology text as measured by information recall.,,,
C0290,Pseudo-haptics can also serve as a cue to importance: users often infer that heavier-feeling elements are more important [1] or more valuable [16].,,,
C0291,Tracy (2008) asserts that being able to read depend on the library exposure and interest the child has for reading materials.,,,
C0292,"These authors conducted similar experiments as Janssen et al. (2008) in Dutch (in which adjectives are placed prenominally) and found phonological congruency effects in colour naming but not in object naming, contrary to the predictions of the word order hypothesis and the results from Janssen et al.’s English experiment.(1) In view of these conflicting findings, we sought to obtain further evidence from yet another language, namely German, in which adjectives are placed prenominally, as in Dutch and English. German as the target language seems particularly suited for this purpose given that German adjectives are marked for grammatical gender, when produced in a noun phrase context, as are French (and Spanish and Dutch) adjectives. This is different in English, in which no grammatical gender marking is present. Thus, the contrast of German (or Dutch) and French (or Spanish) avoids a confound that exists in the language contrast of French and English on which the argument raised by Janssen et al. is based. If canonical word order determines the emergence of phonological congruency effects in colour naming and object naming as argued by Janssen et al. (2008), we should observe a phonological congruency effect in object naming but not in colour naming.",,,
C0293,"…universally perceived and expressed as a signal of success across cultures (Tracy & Matsumoto, 2008); however, when and how displays of pride are perceived varies across ethnicities (Tracy & Robins, 2008), likely due to differences in cultural display norms (Matsumoto, Yoo, Fontaine, et al., 2008).",,,
C0294,"The foundational work of Casasanto and Boroditsky (2008) provides compelling evidence for metaphor theory. However, our recent unpublished online replication attempt of this work found different results. We analyzed the data with both OLS regression (in order to be consistent with previous analytical approaches; see Table 1) and mixed models with the inclusion of participant as a random intercept (see Table 2) to account for the nested nature of the data (tables were made using the Stargazer package in R; Hlavac, 2013). Our pilot data indicate that irrelevant temporal information affected spatial estimates and irrelevant spatial information affected temporal estimates to roughly the same degree. The semi-partial marginal R 2 values (calculated in accordance with the methods outlined by Stoffel, Nakagawa, & Schielzeth (2021)) for the variance explained by actual displacement in predicting duration estimates and for actual duration in predicting displacement fell within each other’s confidence intervals (see Table 2).",,,
C0295,"Men may also overestimate women’s interest in aggressive sexuality, as they are prone to overestimating women’s sexual interest in general (Abbey, 1982; Farris et al., 2008).",,,
C0296,"Alternatively, the process producing the item-specific PC effect might be one whereby a contingency is learned between a word and the response typically made to that word (Schmidt & Besner, 2008).",,,
C0297,"Despite well-meaning intentions to avoid prejudice, when individuals in majority-White contexts employ strategic colorblindness, this has negative psychological consequences for minority individuals (e.g., Plaut et al., 2009; Purdie-Vaughns et al., 2008).",,,
C0298,"The results reported here are consistent with the interference-by-process view of semantic auditory distraction (Marsh et al., 2008, 2009) in which the B-SSSE on veridical recall is a result of a conflict between semantic processes, and the B-SSSE on erroneous recall is a result of such conflict…",,,
C0299,"This is in agreement with several studies suggesting that aMAOA variant with higher level of expression is associated with higher level of Novelty Seeking (Shiraishi et al., 2006), a phenotype closely related to extraversion (Zuckerman and Cloninger, 1996; De Fruyt et al., 2000; Livesley, 2001).",,,
C0300,"…shows that a higher degree of autonomy in the workplace leads to improved job satisfaction and performance (e.g. Bartling et al., 2013; Frey & Benz, 2008; Kuvaas, 2008) and that reduced autonomy may lead to decreased effort (e.g. Charness et al., 2012; Falk & Kosfeld, 2006; Fehr et al., 2013).",,,
C0301,"Furthermore, that decreased MPFC activity predicted positive and in turn warm and helpful feedback is consistent with research that has suggested that interracial interactions might be strained by excessive self-referential processing (Plant and Devine, 2003; Butz and Plant, 2006; Goff et al., 2008; Sasaki and Vorauer, 2010).",,,
C0302,"…(Chaudhuri and Paichayontvijit, 2010), rewards and sanctions (Dugar, 2010; Galbiati et al., 2013), the history of play (Al-Ubaydli, 2011; Cason et al., 2012) as well as group decision-making (Feri et al., 2010) and a common group identity (Chen and Chen, 2011) were found to influence behavior.",,,
C0303,"Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).",,,
C0304,It has been argued that these reductions in brain glucose metabolism underlie functional defi cits following sleep deprivation because of resource depletion [ 58 – 60 ].,,,
C0305,7 Ifcher and Zarghamee (2011) find that induced positive affect leads to more patient choices involving money.,,,
C0306,"The results of a 10-year longitudinal study are consistent with the idea that ambivalent affect is positively associated with well-being (Hershfield et al., 2013).",,,
C0307,They found that male participants would rate male CEOs as significantly more dominant and facially mature than female CEOs.,,,
C0308,"Moreover, for self-handicappers, upward counterfactual thoughts about the past produce positive affect, inverting the typical relationship (McCrea, 2008).",,,
C0309,"The lack of incentives to pay attention to the subtle stimuli used in this experiment might be a reason for the failure rate (Oppenheimer et al., 2009).",,,
C0310,"In short, those motivated by social identity may not disclose their vegetarian identity to non-vegetarians for fear of backlash, given vegetarianism's stigmatized nature (Kellman, 2000; LeRette, 2014; Minson & Monin, 2012; Purdie-Vaughns et al., 2008).",,,
C0311,"…the differential threat stereotypi-cally associated with male faces versus female faces, much like how smiling expressions have been found to dampen the differential threat stereotypicallyassociatedwithBlackfacesversusWhitefaces(Kubota &Ito,2014;Richeson&Trawalter,2008;seealsoRaissi&Steele,2021).",,,
C0312,"The price effects of the exchange rate are closely associated with wage rates, transportation and distribution costs, trade dependency, openness and trade barriers, and monetary policy framework of importing economies, as well as the extent of local and producer currency pricing (Anh et al., 2021; Barhoumi, 2006; Brun-Aguerre et al., 2012; Bussiere et al., 2014; Choudhri et al., 2005; Frankel et al., 2012; Mankiw, 1985; Mihaljek, Klau, et al., 2008; Obstfeld & Rogoff, 2000; Taylor, 1980).",,,
C0313,"Research on mental imagery has shown that it fosters more positive intentions to engage in outgroup contact (Husnu & Crisp, 2010a, 2010b), increases self-efficacy concerning future outgroup contact (Stathi, Crisp, & Hogg, 2011), and facilitates outgroup trust (Pagotto, Visintin, De Iorio, & Voci,…",,,
C0314,"In employees’ careers, motivation is the incentive of their professional behaviors from beginning to end [7,8], and it is also an important factor in the development of individuals and organizations [9].",,,
C0315,"Analytic cognitive style is a core component of rationality (Stanovich, 2011; Stanovich & West, 2008) that is dissociable from cognitive ability (Toplak, West, & Stanovich, 2011, 2013) and has important consequences for diverse domains of psychological functioning (Pennycook, Fugelsang, & Koehler,…",,,
C0316,"King (2017) replicated earlier research which demonstrated the effects of numerical representation and an organization’s diversity philosophy on Black prospective employees’ reactions (Purdie-Vaughns et al., 2008) by considering the mediator of this relationship.",,,
C0317,"Finally, Stanovich and West (2008) also found that PR is unrelated to cognitive ability as measured by subjects’ SAT scores.",,,
C0318,"Predictions from SES theory have been supported in experimental, longitudinal and cross-sectional research (Ersner-Hershfield et al. 2008; Charles and Carstensen 2009).",,,
C0319,"For victims, the primary need is restoring power and status, while for offenders, the primary need is restoring their image as moral actors (Shnabel and Nadler 2008; Shnabel et al.",,,
C0320,"Nondominant groups experience threats to power and status, whereas dominant groups experience threats to moral identity (Shnabel & Nadler, 2008).",,,
C0321,"Turner, Crisp, and Lambert (2007) suggest that a priming effect makes positive aspects of intergroup cognition more accessible (see also Husnu & Crisp, 2010).",,,
C0322,"Research suggests that power holders prefer to strive for goals that maintain and protect their resource control (Fehr et al., 2013; Willis & Guinote, 2011) and that powerful individuals are better able to achieve such control goals than powerless individuals (Magee & Galinsky,…",,,
C0323,"…results of laboratory studies indicated that when materialism was briefly activated, participants demonstrated a reduction in their willingness to provide assistance to others [23], an increase in their support for anti-welfare policies [24] and a heightened recognition of social inequality [25].",,,
C0324,"Rather, it reveals the operation of a general cognitive mechanism dedicated to the comprehension of abstract concepts (Boroditsky, 2000; Casasanto & Boroditsky, 2008; Lakoff & Núñez, 2000), where abstract opposition more–less as a result of applying arithmetic operations of addition and subtraction…",,,
C0325,"…violence perpetration frequently misperceive neutral interpersonal behaviors from women (e.g., smile, eye contact) as signs of sexual interest (Farris et al., 2008), which may lead to negative affective responses (i.e., feelings of anger and frustration) when their sexual advances are…",,,
C0326,"In other words, learning of word-color contingencies, rather than adaptation to conflict frequency, might be responsible for the difference in magnitude of congruency effects that is typically found in PC manipulations in the Stroop task (Schmidt & Besner, 2008).",,,
C0327,"One reason individuals may choose to not reveal their true selves is because they feel vulnerable (defined as the extent to which they perceive or feel that they are dependent on the approval of others and could be easily hurt by them, Lemay & Clark, 2008).",,,
C0328,"These results replicated previous work by Farrell and Lewandowsky (Farrell & Lewandowsky, 2004; Lewandowsky & Farrell, 2008) who examined the dynamics of transposition errors in the serial recall of verbal sequences and also found empirical support for a representational mechanism embodying these…",,,
C0329,"Although some of the data supporting this notion can be accounted for by pure stimulus-response learning [ 33 ], other studies indicate that context-specific adaptation is genuine [34], and computational models are being developed to account for this phenomenon [35,36].",,,
C0330,"Previous research has demonstrated that experientially, poignancy entails a mixture of happiness and sadness (Ersner-Hershfield et al. 2008), but the extent to which this emotional experience affects subsequent attention had not yet been explored.",,,
C0331,", 2008), such that later familiarity depends on complete input patterns (Fiser and Aslin, 2005; Turk-Browne et al., 2008).",,,
C0332,"…correlation between age and acqui-escence ( r = .27 for Costello and Roodenburg and r ranging from .01 to .22 for Meisenberg and Williams), whereas Soto et al. (2008) found the opposite relationship – higher age was associated with a lower level of acquiescence (as seen in Figure 1 in their…",,,
C0333,"…competitive, by comparing predictions from two hypotheses, the swinging lexical network (Abdel Rahmen & Melinger, 2009) and the response 2 Although Roelofs (2008) found no category effect in the PPI on naming latencies, he observed a category facilitation effect in a different paradigm using eye…",,,
C0334,"Supporting the argument further, Blankenship and Wegener (2008) found that values perceived as important positively affected the elaboration of messages—participants were careful to think more about messages that were related to attitude objects they valued (see also findings from Worthington et…",,,
C0335,"According to language-mediated view (e.g., Boroditsky 2000), after repeated use of metaphors in everyday language, a relational structure of the concrete, source domain may be stored at the abstract, target domain.",,,
C0336,"That is, in comparison to obvious social categories such as gender or race, sexual orientation lacks distinctive facial indicators (cf. Rule & Ambady, 2008a).",,,
C0337,"On the contrary, there is ample evidence to show that even effortful, persistent, and highly conscious and controlled attempts to solve logical problems can produce strong biases (Fiedler, 2008; Le Mens & Denrell, 2011) of the same type as the classical heuristics (e.",,,
C0338,"At first glance, this may seem contradictory: Heroism is characterized by strong agency, whereas victimhood connotates a lack of agency (Shnabel & Nadler, 2008).",,,
C0339,"In that case reputation may not be effective as a mechanism to convey information about product quality, as shown by experimental evidence (Dulleck et al. 2011).",,,
C0340,"…at the floor or within the lowest region of the scale, thus greatly affecting the assumption of linearity and interval scale, a feature common to Likert-type scales (Bishop & Herron, 2015; Brown, 2015), which can seriously distort and produce inconsistent factor structures (Soto et al., 2008).",,,
C0341,"58,59 The features that are perceived as the average of the group by individuals are direction , 60,61 speed , 62 orientation , 63 and size .",,,
C0342,"In contrast, individuals with low selfesteem behave relatively reserved to protect themselves from being rejected (Murray et al., 2008).",,,
C0343,"…with past work showing that counterfactuals that result in negative affect are most likely to increase intentions to improve (Markman et al., 2008), as well as with work showing that counterfactuals used to excuse poor performance reduce subsequent effort (McCrea, 2008; Tyser et al., 2012).",,,
C0344,"…basic, reflective processing via the subcortical pathway, while the modulation from sociocultural norms may be weakened due to the limited access to certain cortical regions, as found in implicit social attitudes tasks (Greenwald et al., 1998; Nosek et al., 2002; Kiefer and Sekaquaptewa, 2007).",,,
C0345,"Thus, while reputation provides helpful information to consumers, it is inherently a noisy and limited signal, and still may not resolve consumer agency concerns (Darby and Karni, 1973; Dulleck et al., 2011).",,,
C0346,"Tversky and Kahneman (1973, 1974) have suggested that ideas that come to mind first or most easily may influence judgment.",,,
C0347,"…as with generating gender-marked noun phrases in response to words, unrelated distractor pictures yield general interference and semantically related pictures facilitate responding relative to unrelated pictures in word categorising (e.g., Glaser & Düngelhoff, 1984; Roelofs, 2003, 2007b, 2008b).",,,
C0348,"This finding is consistent with the account of perceptual learning outlined by Mitchell et al. (2008), who suggested that a critical consequence of the intermixed preexposure procedure is that it allows better processing of the unique features of the stimuli so that they become better encoded in…",,,
C0349,"Amodio et al. (2008, p. 72) suggest that “[t]hese findings show that effective response control may be deployed without a person’s awareness that a race-biased response was averted.”",,,
C0350,"In this respect, tests administered to samples of low educational levels, low intelligence or adolescents and pre-adolescents have the worst fi ts to the fi ve factor model of personality (Meisenberg & Williams, 2008; Rammstedt et al., 2010; Rammstedt & Kemper, 2011; Soto et al., 2008).",,,
C0351,"More generally, adults tend to expect non-dominant group members, like Black adults, to be “experts” on identity-related issues and topics, like race and racism (Crosby et al., 2008).",,,
C0352,No effects on reasoning and attention or subjective alertness Scholey et al. 2014 [180] 150 (18–55) Between (12 h fast and caffeine abstinence) +30 min (330 mL) 40 mg caffeine + 60 g glucose vs. 25 g glucose vs. 60 g glucose CBG; salivary caffeine level; multi-tasking framework (4 simultaneous tasks: mathematical processing task; stroop; memory search; target tracker task); Bond–Lader mood VAS; stress and fatigue VAS Co-administration of glucose and caffeine = greater multi-tasking performance than placebo or glucose alone CHO—carbohydrate; EEG—electroencephalogram; VAS—visual analogue scale; RVIP—Rapid Visual Information Processing.,,,
C0353,"Similarly, even when subjects incorrectly report the locations of remembered objects, they may perform reliably above chance if asked to take a second or third guess (Wu and Wolfe, 2018; see also Vul and Pashler, 2008).",,,
C0354,"…that viewers can easily extract summary statistics from visual displays, and their ability to do so seems to extend to various features and stimuli (e.g., Alvarez, 2011; Alvarez & Oliva, 2008; Ariely, 2001; Brady, Konkle, & Alvarez, 2009; Brady & Tenenbaum, 2012; Oliva & Torralba, 2006, 2007).",,,
C0355,"In a recent study of visual word recognition, Mirman and Magnuson (2008) found opposite effects of near and distant semantic neighbors: words with many near neighbors (highly similar concepts) were recognized more slowly than words with few near neighbors, and words with many distant neighbors…",,,
C0356,"…the reported associations were only mild and probably conditioned by the fact that, within each model, personality traits were interrelated (De Fruyt et al., 2000), we suggest to consider personality as being composed of: (a) anxiety traits (N and HA), (b) impulsivity traits (E and NS), (c)…",,,
C0357,"When people are reminded of personal past failures, they recall them as psychologically more distant than past successes, even when actual calendar time is held constant (Ross & Wilson, 2002).",,,
C0358,"…usages are relevant to the neighborhood density effect: constructions with more similar constructions (i.e. neighbors) in dense neighborhoods are processed more difficultly than those with less similar constructions in sparse neighborhoods (Luce, Pisoni, & Goldinger, 1990; Mirman & Magnuson, 2008).",,,
C0359,"Given that bias often ‘‘leaks’’ into less controllable (e.g., nonverbal) channels because people lack the opportunity to control such behavior (e.g., Goff et al., 2008; Shelton, 2003; Shelton et al., 2005; Weitz, 1972), we made additional predictions regarding more subtle treatment of gay men and…",,,
C0360,It is hoped that the current paper strengthens the point of Schmidt (2013a) that the currently published data on PC effects are too ambiguous to definitively conclude whether or not conflict adaptation plays a role in addition to basic learning and memory confounds.,,,
C0361,"Of note, in Ambrus and Greiner (2012) the two-trials rule fails because of the dichotomization at α = 0.025, but replication success with the sceptical p-value is achieved (p∗S = 0.024).",,,
C0362,"Once acquiescence was controlled for, the psychometric properties of self-reports greatly improved for all ages (Soto et al., 2008).",,,
C0363,"…more strongly with stereotypical male than female attributes (Carli et al., 2016; Kessels et al., 2006; Lane et al., 2012; Leslie et al., 2015; Nosek et al., 2002) and women are frequently perceived to lack the competences required for successful scientific careers (Eaton et al., 2020;…",,,
C0364,"With regard to our topic, projection of one’s own responsiveness was found to be a source of perceived partner’s support, even after controlling for the individual’s accuracy as well as shared source and method variance in measures of responsiveness (Lemay & Clark, 2008; Lemay et al., 2007).",,,
