task_id,src_id,item_type,gold_assert,gold_cert,model_s,arm,year,sentence
T0138,C0434,duplicate,,,0.5,robust,2008,"Relatedly, Farrell (2008) recently reported an isolation effect in forward serial recall in one experiment (but not in another similar one) in which people had to explicitly group the list on some trials and had to recall the timing of input items (rather than their identity) on some other trials."
T0139,C0983,ordinary,,,0.8,robust,2012,"There also exists strong evidence for the measure’s predictive validity because it predicts judgment and behavioral outcomes above and beyond self-report measures (Payne et al., 2008, 2009; Payne, McClernon, & Dobbins, 2007)."
T0140,C1901,ordinary,,,0.8,refuted,2021,Chen and Chen (2011) show that ingroup identification influences equilibrium selection in minimum-effort games.
T0141,C0569,ordinary,,,0.5,robust,2020,"Previous studies have posited that this domain would cover the facets most bound by psychological maturity in youth (Mervielde, Buyst, & De Fruyt, 1995; Soto et al., 2008)."
T0142,C4310,ordinary,,,0.5,refuted,2011,"Individuals with exhausted mental resources experience greater difﬁ-culty with deliberation and rule-based analyses (DeWall, et al., 2008; Masicampo & Baumeister, 2008)."
T0143,C4372,ordinary,,,0.5,refuted,2018,"Third, the probability of explosion in the classic BART increases with each successful pump (Pleskac, 2008)."
T0144,C0337,ordinary,,,0.8,robust,2015,"On the contrary, there is ample evidence to show that even effortful, persistent, and highly conscious and controlled attempts to solve logical problems can produce strong biases (Fiedler, 2008; Le Mens & Denrell, 2011) of the same type as the classical heuristics (e."
T0145,C2007,ordinary,,,1.0,refuted,2015,"That is, semantically unrelated targets elicited the spatial interference effect (Bergen et al., 2007; Estes et al., 2008; Gozli et al., 2013; Richardson et al., 2003; Verges & Duffy, 2009)."
T0146,C4432,ordinary,,,0.5,robust,2023,"A study 14 indicated that by providing a timespan between two estimates (e.g. 2 weeks), people can exploit the wisdom of the inner crowd."
T0147,C4091,ordinary,,,0.5,refuted,2015,"Rugg, 1941; Schwarz et al, 1985), we know that question wording and response format affect responses even within one mode; for an overview, see Sudman et al (1974). Therefore, changing the question format when changing mode may add to the net effect of mode and result in considerable overall differences between modes in mixed mode surveys (cf."
T0148,C3270,ordinary,,,0.7,robust,2024,"Gill and Prowse (2016) find a negative association between neuroticism and performance in a repeated p-beauty contest game, Al-Ubaydli et al."
T0149,C3722,ordinary,,,0.0,robust,2014,"However, recent studies have cast doubt on the validity of this dissimilar immunity finding (Farrell, 2006; Farrell & Lewandowsky, 2003; Lewandowsky & Farrell, 2008a)."
T0150,C5821,gold_hedged,1,0.0,0.0,refuted,2022,"On the other hand, as with White third-party observers, studies of moral attribution and licensing suggest that Black people may perceive this behavior as honest criticism meant to help not harm the group and thus may reward the candidate (Monin and Miller 2001)."
T0151,C3761,ordinary,,,0.0,refuted,2013,"First, counterparts’ emotions may evoke reciprocal or complementary emotions (Friedman et al., 2004; Van Dijk et al., 2008; Van Kleef, De Dreu, & Manstead, 2004) that influence deception directly and indirectly."
T0152,C2633,ordinary,,,0.8,refuted,2017,Victims also experience adverse events as threats to their social status and power (Shnabel and Nadler 2008).
T0153,C0175,ordinary,,,0.8,robust,2020,"Thus, these results strongly suggest that serial order is represented with absolute positional codes and support event-based theories of serial order (Henson, 1998; Lewandowsky & Farrell, 2008)."
T0154,A042,gold_nonassert,0,,,,,"In Dulleck et al. (2011) – the study on the impact of liability and verifiability on the performance of credence goods markets – we also had an experimental condition where sellers were identifiable for buyers, allowing the latter to keep track of their experiences with a given seller."
T0155,C1022,ordinary,,,0.5,robust,2015,"In this respect, it also relates to findings that decision makers ascribe non-pecuniary value to possessing control or power, which has only recently gained attention in economics (Fehr et al., 2013; Bartling et al., 2014)."
T0156,C5814,ordinary,,,0.5,refuted,2016,"For instance, evidence shows that individuals can be loss averse regarding items they own or expect to eceive (Kahneman et al., 1990; Ericson and Fuster, 2011)."
T0157,C5362,ordinary,,,0.8,refuted,2015,"An additional explanation is that the retrocue works by reducing probe interference – specifically, focusing attention on a critical item during the maintenance period helps to solidify memory for that item, which makes it more resistant to interference from the probe array (Makovski et al., 2008)."
T0158,C4234,ordinary,,,0.5,refuted,2014,"These findings are attributed to the depletion of glucose by both tasks, resulting in a shortage of resources to complete both of them efficiently (see e.g. Gaillot et al., 2007; Masicampo and Baumeister, 2008)."
T0159,C1185,ordinary,,,0.8,refuted,2008,Schwarz et al. (1985) show that respondents gain information about the researcher’s expectations using numerical labels as frames of reference.
T0160,C2939,ordinary,,,0.5,refuted,2011,"What Study 1 suggests, especially when combined with similar results from several earlier studies (Exline et al., 2008; Exline & Zell, 2009), is that a simple prime of relational or empathic motives does not seem sufficient to increase women’s forgiveness."
T0161,C4080,ordinary,,,0.5,refuted,2008,"In addition, a recent study [19] found that items in fragile VSTM are not stored in a retinotopic way, but in a spatiotopic way."
T0162,C5954,ordinary,,,0.5,refuted,2017,", research seems to support the view that bilingualism positively influences mechanisms of cognition in terms of mental flexibility (Colzato et al. 2008; Prior & MacWhinney 2010), executive control (Costa et al."
T0163,C2717,ordinary,,,0.5,robust,2010,"These predictions were supported by the current data and are therefore compatible with the Jacoby et al. (2003) view that both item-specific control and contingency learning mechanisms play a role in ISPC effects, and are incompatible with a pure contingency account (Schmidt & Besner, 2008)."
T0164,C1368,ordinary,,,0.8,refuted,2020,"For instance, after having expressed their disagreement with racist comments or after having expressed a preference to vote for the first Black U.S. President Barack Obama, people were more likely to endorse a White person for the job (Effron et al., 2009; Monin & Miller, 2001)."
T0165,C1091,ordinary,,,0.0,refuted,2011,"If they stay below this threshold, they may facilitate lexical selection because they boost the activation of the picture name through spreading activation via the conceptual network (Roelofs, 2008c)."
T0166,C1142,ordinary,,,0.5,refuted,2013,"Nevertheless, Husnu and Crisp (2010a) recently used an enhanced version of these instructions, reporting that it boosted the effects of imagined contact on subsequent attitudes."
T0167,C3888,ordinary,,,0.5,refuted,2012,"Research has shown that securely attached individuals exaggerate perceived regard from their romantic partner following mortality salience, and anxiousambivalent individuals exaggerate perceived regard from their parents (Cox et al., 2008)."
T0168,C0435,ordinary,,,0.5,refuted,2010,"This alternative hypothesis is in line with recent work by Masicampo and Baumeister (2008), which showed that decision biases can be induced by depleting cognitive resources."
T0169,C3497,ordinary,,,0.5,robust,2016,"Contrary to intuition (but in accordance to the theoretical analysis we develop below) subjects tend to punish more when information becomes more noisy (Grechenig, Nicklisch, & Thöni, 2010; Ambrus & Greiner, 2012).3 All three problems are closely related."
T0170,C2536,ordinary,,,0.8,refuted,2009,"Dai, Wertenbroch, and Brendl (2008) recently demonstrated that the link between scarcity and value is so overlearned that its converse also holds."
T0171,C1134,ordinary,,,0.3,refuted,2011,"Perhaps the ease with which the brand name is processed leads to a biased judgment (Tversky & Kahneman, 1973)."
T0172,C3863,ordinary,,,0.3,refuted,2010,"Another possible explanation is that this effect could be the consequence of resource allocation competition, as the two tasks were concurrently performed (see Baddeley et al., 2001; Liefooghe et al., 2008)."
T0173,C3985,ordinary,,,0.5,robust,2020,"Under this interpretation, our work not only provides support for Fehr, Herz, and Wilkening (2013), albeit in a different setting, but also offers behavioral explanations for this apparent desire to retain authority over decision-making."
T0174,C2446,ordinary,,,0.5,robust,2026,"Framing theory argues that communicators shape interpretation by selecting and emphasizing particular aspects of reality (Ent-man et al., 1993), while decision-framing studies show that equivalent descriptions can systematically alter judgments (Tversky and Kahneman, 1981)."
T0175,C0073,gold_definitive,1,1.0,1.0,refuted,2013,"Specifically, Ifcher and Zarghamee (2011) demonstrated that mild positive affect significantly reduced impulsivity in intertemporal choice."
T0176,C2855,ordinary,,,0.0,refuted,2024,"This may imply that the level of acceptance of dynamic pricing by consumers might differ depending on the extent to which they perceive the product as being essential (Cacioppo, Petty and Morris, 1983)."
T0177,C3512,ordinary,,,0.5,refuted,2020,"Following one’s own wrongdoing, we argue, there is a twin threat to one’s social acceptance by valued others and to one’s own sense of moral self-integrity (Shnabel & Nadler, 2008)."
T0178,C4054,ordinary,,,0.75,refuted,2021,"Importantly, non-stereotyped group members also commonly experience threat responses during interactions with negatively stereotyped others, particularly when they first meet (e.g., Blascovich et al. 2001, Goff et al. 2008)."
T0179,C4074,ordinary,,,0.3,refuted,2020,"Thus, although elaboration can be a useful tool in experimental imagined contact research (Husnu & Crisp, 2010), it may be less central in everyday intergroup situations."
T0180,C5390,ordinary,,,0.5,robust,2014,", excitement), and instead choose to listen to music that will increase their anger (Tamir et al., 2008)."
T0181,C1358,ordinary,,,0.5,refuted,2022,"Although the concept of time can be grasped with relative difficulty because of the lack of a dedicated sensory system, converging evidence indicates that time is often mapped onto the more concrete and experiencebased concept of space (see Boroditsky, 2000)."
T0182,C4475,ordinary,,,0.8,refuted,2015,"Regarding the former, research on adults reveals that the physical distance between participants and members of an outgroup is indicative of participants’ attitudes toward the outgroup (Kawakami et al., 2007; Goff et al., 2008)."
T0183,C4584,ordinary,,,0.8,robust,2017,"In an earlier contribution, Ambrus and Greiner (2012) find in a repeated public goods game that in a perfect monitoring environment, increasing the severity of the potential punishment monotonically increases efficiency, while with imperfect monitoring the relationship is U-shaped."
T0184,C0506,ordinary,,,0.0,robust,2017,"Nevertheless, Kirchler et al. (2012); Huber and Kirchler (2012) argue that the nonfundamental outcomes in these experiments are due tomisunderstanding: subjects may be simply confused by the declining fundamental price."
T0185,C1930,ordinary,,,0.5,refuted,2012,"Today, recognition of the interpersonal function of emotions (e.g., Morris and Keltner 2002; Van Kleef, De Dreu, and Manstead 2004; Van Kleef et al. 2006; Van Dijk et al. 2008) suggests that expressions of guilt—conveying empathy, taking responsibility, and apologizing—can constructively influence the other side and accelerate reconciliation."
T0186,C0555,ordinary,,,0.7,refuted,2019,"Thus, the subordinate details associated with each specific unit must be considered, even independent of more abstract or global details at this stage (Förster et al., 2008)."
T0187,C1686,ordinary,,,0.0,robust,2023,"The absence of invariance in this scale may be due to the presence of extreme mean scores [86] for heterosexual, bisexual, and gay people."
T0188,C1672,ordinary,,,0.8,refuted,2013,"Previous research has demonstrated that texts that are disfluent (difficult to read) can increase abstract construal of the text itself (Alter & Oppenheimer, 2008) and a more critical, careful analysis of its content (Song & Schwarz, 2008)."
T0189,C0318,ordinary,,,0.5,refuted,2013,"Predictions from SES theory have been supported in experimental, longitudinal and cross-sectional research (Ersner-Hershfield et al. 2008; Charles and Carstensen 2009)."
T0190,C3148,ordinary,,,0.5,robust,2015,Farrell (2008) also claims that rhythm is a type of information readily processed and retained in short-term memory.
T0191,C3337,ordinary,,,0.8,refuted,2021,"Moreover, Boroditsky (2000) empirically demonstrated that individuals’ understanding of time (abstract concept) is shaped by a metaphorical mapping that relies on spatial tropes (concrete metaphor)."
T0192,C4250,ordinary,,,0.5,refuted,2022,"Task switching due to repair activities (e.g., trying to re-connect to the VC system, changing of window size or camera angle) create further mental load [102,103] that can contribute to fatigue, can also negatively impact the person’s impression."
T0193,C4602,ordinary,,,0.8,robust,2019,"Previous work on the construct validity of the AMP has thus done much to establish that the responses it measures vis-à-vis the primes are unintentional (Gawronski & Ye, 2014, 2015; Payne et al., 2008; Payne et al., 2013)."
T0194,C0940,ordinary,,,0.75,robust,2011,"The study demonstrated that even though the local details were poorly represented and identified at chance levels, the pooling of local features to obtain statistical information could be achieved, resulting in better performance (Alvarez & Oliva, 2008)."
T0195,C5869,ordinary,,,0.5,robust,2016,Kill-joy thinking correlates with reductions in well-being (Schwartz et al. 2002; Larsen and McKibban 2008; Polman 2010).
T0196,C1510,ordinary,,,0.8,refuted,2012,"In fact, Storm et al. (2008) found that forgetting can be repeatedly induced and eliminated with successive retrieval practice and reexposure trials and that reexposure led to larger increments in the recall of Rp items than of Nrp items."
T0197,C1024,ordinary,,,0.5,robust,2022,"As a result, responses in the trust game might map better onto explicit evaluations given their similarity in structure and processing characteristics (Payne et al., 2008)."
T0198,C5588,ordinary,,,0.0,robust,2017,Soto et al. (2008) found that personality questionnaires may be challenging to comprehend for youths and therefore demonstrate problematic psychometric properties.
T0199,C3034,ordinary,,,0.8,refuted,2020,"For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals."
T0200,C5355,ordinary,,,0.5,refuted,2010,"A further twist to this story is that the list-strength effect has been observed only with spaced repetitions (Malmberg & Shiffrin, 2005; Sahakyan et al., 2008)."
T0201,C4526,ordinary,,,0.8,refuted,2019,"Since n m is the inverse of market tightness, workers are offered almost the entire match surplus when market tightness becomes very high, but would be offered nothing when market tightness is very low if it were not for the second expression in equation (17)."
T0202,C5589,ordinary,,,0.5,robust,2021,", 2002), and response latency is longer at the beginning of groups (Farrell, 2008; Maybery et al., 2002)."
T0203,C4725,ordinary,,,0.5,robust,2023,"2,9 In the domain of medical image perception, global visual processing is thought to enable radiologists to sense the possible abnormality in medical images such as mammograms before localizing the focal signs of the abnormality (e.g., malignant lesions)."
T0204,C0285,ordinary,,,0.5,robust,2017,One explanation is that ‘dual learning’ of both the correct responses and errors may occur in Hebb repetition tasks (Couture et al. (2008).
T0205,C4871,ordinary,,,0.5,robust,2016,This is comparable to Kessler and Roth (2012) where 36 percent register as a donor in the baseline treatment and 74 percent in the priority treatment.
T0206,A044,gold_nonassert,0,,,,,Richeson and Trawalter (2008) examined visual attention to Black faces with either happy or neutral expressions among White people varying in their level of external motivation to respond without prejudice.
T0207,C3030,duplicate,,,0.5,refuted,2025,"Executives in the moral cleansing mode tend to direct their attention toward the interests and welfare of those who were harmed by their excessive pay (e.g., employees, shareholders, and society in general) (Carnevale & Gangloff, 2023; Shnabel & Nadler, 2008)."
T0208,C3134,ordinary,,,0.8,robust,2018,"In particular, hand reaching or mouse cursor trajectories can expose the degree of attraction towards an option which was not eventually chosen, or vacillation experienced prior to making the final decision (Freeman et al., 2011; McKinstry et al., 2008; Resulaj et al., 2009; Spivey & Dale, 2006)."
T0209,C0067,ordinary,,,0.3,refuted,2008,"On the other hand, as graduation drew even nearer, all participants may have been similarly and increasingly struck by the powerful cues that accompany the end of a college career, such as picking up a cap and gown and taking final exams (Ersner-Hershfield et al., 2008)."
T0210,C4531,ordinary,,,0.75,refuted,2018,", 2009); learning goals tend to make people partner-focused, which attenuates identity threat (Goff et al., 2008) and corresponds to increased positive other directed actions (Vorauer, Gagnon, & Sasaki, 2009), whereas performance goals tend to produce self-focus, which exacerbates identity threat and leads to more negative exchanges (Goff et al."
T0211,C5340,ordinary,,,0.5,refuted,2012,"Moreover, the discrete-ﬂow model is challenged by evidence that suggests that context pictures yield phonological facilitation effects on naming target pictures (Morsella & Miozzo, 2002; Navarette & Costa, 2005; Roelofs, 2008a)."
T0212,C2587,ordinary,,,0.5,refuted,2011,"As general action and inaction goals can be satisfied by a wide variety of means, selecting specific means is the hallmark of general goals (see Albarracı́n et al., 2008)."
T0213,C4960,ordinary,,,0.0,refuted,2015,"The priming effect was not statistically significant and in the opposite direction of the effect observed in the original study, t(154) 0.36, p .72 (Table 1, Figure 3)."
T0214,C0942,ordinary,,,0.8,refuted,2025,"Specifically, Experiment 1 showed that exposure to the word “meeting” in red (vs. black) font led to higher levels of arousal, which in turn reduced perceived temporal distance, aligning with the time-moving perspective whereby the event had been moved earlier to next Monday ."
T0215,C5197,ordinary,,,0.3,refuted,2017,"(*+0*)$%*,)4#'-.*)1*4&+)4$;/*44*) la fluence peut être intégrée et traitée par le système indépendamment de la manière avec laquelle elle est générée (Alter & Oppenheimer, 2009)."
T0216,C1790,ordinary,,,0.5,robust,2012,"Accordingly, we assume that intention deactivation failures are a relatively direct indication of how individuals balance the trade-off between monitoring and shielding depending on the current task context (Goschke & Dreisbach, 2008)."
T0217,C0381,ordinary,,,0.8,refuted,2026,"By having gender bias individuals make two consecutive hiring decisions, Monin and Miller ( 2001 ) found that the first decision affects the second one and that if an individual chooses a male the first time, they prefer to choose a female when making the second decision."
T0218,C2175,gold_hedged,1,0.0,0.0,refuted,2016,"Relatedly, if a buyer expects a trade to go through, her willingness to pay for the good may increase (Ericson and Fuster, 2011)."
T0219,C3924,ordinary,,,0.5,refuted,2012,"Interestingly, these effects are not limited to humans [14–16], they increase after lesion of the medial orbitofrontal cortex in macaques [17], and they can be mitigated by improving self-control or increasing blood glucose [18]."
T0220,C0208,ordinary,,,0.5,refuted,2015,"Based on that model, Ericson and Fuster (2011) [33] point out that that people seem to be loss averse around their expected outcomes, and that “expectation-based” loss aversion could compel agents to react to otherwise neutral actions."
T0221,C3375,ordinary,,,0.5,refuted,2019,"Past studies have shown that several interventions are effective in reducing intergroup biases, such as self-affirmation (Čehajić-Clancy et al., 2011), secure attachment (Saleem et al., 2015), and cognitive dissonance (Exline et al., 2008)."
T0222,C5304,gold_hedged,1,0.0,0.0,refuted,2013,"Instead, it has been suggested that mechanisms related to monitoring and goal maintenance might underpin the bilinguals’ superior performance in attentional tasks (Colzato et al., 2008; Costa et al., 2009)."
T0223,C4506,ordinary,,,0.5,robust,2009,"Evidence of a 'pull' from competing response alternatives during a reaching task (McKinstry et al., 2008) provides further indication that decision making might not be its own a single, clear-cut phase, but operates, rather, in continuity with planning and execution."
T0224,C1495,ordinary,,,0.8,refuted,2024,"This theory is empirically supported by the work of Boroditsky (2000) who showed that people employ spatial metaphors to represent time both cognitively and linguistically, but not the other way around."
T0225,C3563,ordinary,,,0.0,refuted,2011,"However, judgments may be formed not only on the basis of content information, but also on the basis of the ease or difficulty associated with the retrieval of information from memory (ease-of-retrieval; see Schwarz, 1998, 2004; Schwarz & Clore, 2007; Tversky & Kahneman, 1973)."
T0226,C4770,ordinary,,,0.5,refuted,2018,"A related explanation was proposed by Asch (1948): Based on the findings of Lorge and Curtiss (1936), Asch argued that the perceived prestige of authors plays a role in how statements are assessed."
T0227,C3429,gold_definitive,1,1.0,1.0,robust,2018,"(1988), mispricing is caused by subjects’ confusion about the declining fundamental value of the asset (Huber and Kirchler, 2012; Kirchler et al., 2012)."
T0228,C1548,ordinary,,,0.5,robust,2014,"Conversely, upward counterfactual thoughts reduce persistence and effort when they serve to excuse failure (McCrea, 2008)."
T0229,C5098,ordinary,,,0.5,robust,2021,"We also replicated the typical transposition gradients and were able to analyse response latencies, the latter being characterised by a shape similar to what is usually reported in the verbal domain (Hurlstone et al., 2014; Lewandowsky & Farrell, 2008)."
T0230,C3780,ordinary,,,0.8,robust,2012,"In the behavioral studies (Mirman, 2011; Mirman & Magnuson, 2008), the term many meant a quite different number for near and distant neighbors: For near neighbors, it was around four, but for distant neighbors it was over 200."
T0231,C2544,ordinary,,,0.5,refuted,2023,"Poignancy is a mixed affective state that is often labeled as being “moved” or “touched” (Zickfeld et al., 2019) and involves the feeling of bittersweet mixed affect that arises upon the recognition that a meaningful experience is ending or has ended (Ersner-Hershfield et al., 2008)."
T0232,C3518,gold_definitive,1,1.0,0.9,robust,2015,"It is well known that information asymmetries present in credence goods markets lead to inefficiencies (Dulleck et al., 2011)."
T0233,C2538,ordinary,,,0.8,refuted,2017,"Cacioppo et al. (1983) have shown that those with higher need for cognition put more cognitive effort into tasks and, as a result, are better able to focus their attention on the most relevant information."
T0234,C0248,ordinary,,,0.5,refuted,2014,"Additionally, interventions that restore depleted resources also improve System 2 processing (Masicampo & Baumeister, 2008), which suggests that caffeine may bolster executive control via increased System 2 processing."
T0235,C0627,ordinary,,,0.75,refuted,2025,Kuziemko et al. (2014) provide survey evidence that low (but above minimum) wage workers are more likely to oppose minimum wage increases.
T0236,C4783,ordinary,,,0.8,refuted,2017,"And, De Fruyt had shown that novelty seeking is strongly associated with extraversion (De Fruyt et al., 2000), so that the results of both studies are in line."
T0237,C2381,ordinary,,,0.8,robust,2023,"The finding is that when people estimate a number after being given another number, their estimates are overly close to the first number (Jacowitz & Kahneman, 1995)."
T0238,C5208,ordinary,,,0.3,refuted,2012,"Recent research by Henderson, de Liver, and Gollwitzer (2008) suggests that the beneficial effects of the implemental mindset on task performance might also be mediated by changes in respective attitude strength."
T0239,C1087,ordinary,,,0.8,robust,2018,"Prior research has shown that individuals readily recognize, identify, and distinguish such an expression of pride as a signal of social superiority (e.g., Cheng, 2013; Lang & Crusius, 2015; McFerran, Aquino, & Tracey, 2014; Tracey & Robins, 2008)."
T0240,C2548,ordinary,,,0.8,refuted,2024,"A conceptual metaphor mapping is typically unidirectional [40] and moves from a concrete or physical source to a more abstract target [9,24,40] (Fig."
T0241,C4908,ordinary,,,0.5,refuted,2015,"This finding was surprising as it has been shown that interleaving of trials can facilitate learning versus blocking of trials in many different types of category learning (see Rohrer, 2012 for a review) but also in perceptual learning (Mitchell et al., 2008; Wang and Mitchell, 2011)."
T0242,C5893,ordinary,,,0.8,refuted,2023,"Both CRT and Whiteness analyses signal the centrality of race as a constant motive by which numerous practices, polices, and legislation have been, and continue to be created, presented, and set forth."
T0243,C5640,ordinary,,,0.5,refuted,2023,"According to the literature, the abstract concept of time is expressed in terms of a more concrete domain as space, assuming a metaphorical mapping view (Boroditsky, 2000; Lakoff & Johnson, 2003)."
T0244,C3960,ordinary,,,0.7,robust,2015,"The ACC appears to be involved in monitoring conflicts between intended and actual responses (Inzlicht & Gutsell, 2007)."
T0245,C4241,ordinary,,,0.5,refuted,2014,"Physical temperature has also been found to influence trust behavior in an economic trust game (Kang et al., 2011), and as mentioned above, focusing on a target persons’ psychological warmth increases estimates of ambient room temperature (Szymkow et al., 2013)."
T0246,C4714,ordinary,,,0.5,refuted,2023,"It has been suggested that retrocued items are protected from visual interference (Makovski et al., 2008; Shepardson et al., 2018; Souza et al., 2016) and have a ‘head-start’ preparation for the response probe (Niklaus et al., 2019; Shepardson et al., 2018; Souza et al., 2016)."
T0247,C4261,ordinary,,,0.5,refuted,2025,"For example, time is often conceptualised in terms of space, with the future ahead and the past behind us; this is why we can say that a deadline is approaching (Boroditsky, 2000)."
T0248,C2091,ordinary,,,0.5,robust,2017,"We also predicted that older adults would rate their future simulations as more emotionally arousing than younger adults, which has been found previously (e.g. Addis et al., 2008; Addis et al., 2010; Addis, Roberts, & Schacter, 2011)."
T0249,C1787,ordinary,,,0.0,robust,2016,"For instance, participants may be retrieving the response that was most frequently associated with the irrelevant dimension (i.e., the flanking arrows in a flanker task) for a given stimulus in a particular location (cf. Schmidt & Besner, 2008)."
T0250,C3394,ordinary,,,0.8,refuted,2015,"For example, simply cueing subjects in an experiment to think ofmoney can lead them to offer less help to others, solicit less help from others, engage in more solitary activities and accept greater inequality (Caruso et al., 2013; Vohs et al., 2006)."
T0251,C3690,ordinary,,,1.0,robust,2014,"Combining results with Kirchler et al. (2012)(74), this study reveals that both de nitely lived and inde nitely lived markets have price convergences for an asset supported by a buy back value."
T0252,C4364,ordinary,,,0.3,refuted,2015,"One explanation may be found in prior ﬁndings that indicate that when individuals are asked to think about their past selves in an unfavorable light, they attempt to psychologically distance their current selves from their past selves (Ross & Wilson, 2002)."
T0253,C5093,ordinary,,,0.5,refuted,2021,"Whereas motivation has been found to draw positive past events psychologically closer (Ross & Wilson, 2002), we find that the opposite occurs for future events."
T0254,C4069,ordinary,,,0.5,refuted,2013,"Therefore, they rely less heavily on ease of processing as a cue to assess future memory performance (cf. Alter & Oppenheimer, 2008)."
T0255,C0727,ordinary,,,0.5,refuted,2012,"In the last few years, however, change detection research has shown that more changes can be detected when using a partial-report paradigm [12,13,14,15,16,17]."
T0256,C0103,gold_hedged,1,0.0,0.0,robust,2025,"For instance, individuals may prefer to experience emotions such as anger or anxiety to enhance their performance in certain tasks [59, 112]."
T0257,C5193,ordinary,,,0.7,robust,2022,"Finally, this research (Soto et al. 2008) has shown that there is a high variability in the acquiescent responding among younger study participants."
T0258,C2915,ordinary,,,0.5,robust,2018,"Furthermore, these positional representations are assumed to be multidimensional in nature, with separate positional codes representing order over coarser and finer time scales (Brown et al., 2007, 2000; Burgess & Hitch, 1999; Farrell, 2012; Henson, 1998; Lewandowsky & Farrell, 2008)."
T0259,C4946,ordinary,,,0.5,robust,2023,"First, according to the contingency learning account (Schmidt & Besner, 2008), manipulating the levels of proactive control by manipulating the proportion of the congruency conditions results in a contingency learning of specific colour-word associations."
T0260,C0178,duplicate,,,0.75,refuted,2014,"Parental, spousal, romantic, and friendly relationships act as buffering mechanisms against death anxiety (Cox et al., 2008; Florian et al., 2002; Mikulincer et al., 2003), so it is reasonable to assume that the therapeutic dyad also acts as a potential factor in the diminishment of death anxiety."
T0261,C2432,ordinary,,,0.5,refuted,2016,"In contrast, events are perceived to be temporally proximal when they are concrete (Agerstrom & Bkorklunch, 2009; Kyung et al., 2010); contain information about success (Ross & Wilson, 2002); and are perceived to be more positive in valence (Gebauer et al. 2015)."
T0262,C4155,ordinary,,,0.5,refuted,2025,"For example, Kuziemko et al. (2014) ﬁnd that a back-of-queue policy produces results akin to having no penalty, but this conclusion assumes no behavioral change."
T0263,C1098,ordinary,,,0.5,refuted,2026,"Mere reminders of, or exposure to, money have been found to promote materialism, although some of these results have not been replicated (e.g.,Caruso et al., 2013; Rohrer et al., 2015)."
T0264,C1833,ordinary,,,0.5,refuted,2021,"This creates the expectation that their treatment is contingent on their URM status (13, 30)."
T0265,C1332,ordinary,,,0.5,refuted,2014,"Similarly, Herrmann et al (2008) find differences in antisocial punishment2 in public goods games across cities."
T0266,C4126,ordinary,,,0.3,robust,2014,"Speaking out may lead to a sense of strength and pride (Aramovich, Lytle, & Skitka, 2010; Morrison & Miller, 2008) but could also arouse fears of isolation or social rejection (Pool, Wood, & Leck, 1998)."
T0267,C2116,ordinary,,,0.5,refuted,2023,"These negative expectancies are shared even by low-prejudice individuals (Gaertner & Dovidio, 1986) and predict how far they sit away from minority group members during intergroup interactions (Goff et al., 2008)."
T0268,C2068,ordinary,,,0.5,refuted,2017,"As observed in previous research (Schwarz et al., 1985), participants infer their likely placement in the distribution from their placement on the scale."
T0269,A045,gold_nonassert,0,,,,,"The asset market featurs a dividend-bearing asset with decreasing fundamental value over ten trading periods in a continuous double-auction market design with open order books, following Kirchler et al. (2012)."
T0270,C4146,duplicate,,,0.7,refuted,2015,"Given the experimental evidence indicating mild positive affect reduces time preference with respect to money (Ifcher and Zarghamee 2011) and the link between physical activity and psychological well-being, it is crucial to control for some measure of psychological well-being."
T0271,C4060,ordinary,,,0.8,refuted,2023,"It accounts for the bulk of variance in face impressions across world regions and portends a variety of downstream social consequences, ranging from criminal sentencing, to electoral success, to career attainment (Blair et al., 2004; Jones et al., 2021; Rule & Ambady, 2008; Todorov et al., 2005)."
T0272,C4111,ordinary,,,0.5,refuted,2021,"The unidirectionality of metaphoric association has been empirically supported (e.g. Boot & Pecher, 2010; Boroditsky, 2000; Casasanto & Boroditsky, 2008; Huang & Tse, 2015)."
T0273,C1622,ordinary,,,0.8,robust,2014,"Anger also significantly affects behavior in the repeated prisoner’s dilemma games (18, 19) and power-to-take games (20)."
T0274,C0600,ordinary,,,0.8,refuted,2011,"In fact, research has shown that when Whites expect to have an interaction with a Black individual on issues of race, they experience stereotype threat due to the fear of confirming the negative stereotype that they will appear racist to the other individual (Goff, Steele, & Davies, 2008 )."
T0275,C1351,duplicate,,,0.5,robust,2023,"Interestingly, similar to studies of recognition memory, recall performance in aging has been characterized by loss of specific details and emphasis on information that capture the central idea of an experience (Addis et al. 2008)."
T0276,C5323,ordinary,,,0.5,robust,2016,"Semantic associations have been found to be a predictor in processing for both healthy and aphasic individuals before (cf. Buchanan, Westbury, & Burgess, 2001; Mirman & Magnuson, 2008; Mirman, Yee, Blumstein, & Magnuson, 2011)."
T0277,C0957,ordinary,,,0.8,refuted,2015,", 2015) and visual working memory performance (Griffin and Nobre, 2003; Makovski et al., 2008; Sligte et al., 2008; Kuo et al., 2009), a retrocue providing valid information about the upcoming probe led to faster and more accurate responses than uninformative neutral cue trials."
T0278,C2029,ordinary,,,0.8,refuted,2012,Chen and Chen (2011) demonstrate that creating a deep sense of common identity can motivate people to exert more effort to reach a more efficient outcome.
